id,name,purpose,waiting_period_days
1,Бордоська суміш,Проти грибкових хвороб,14
2,Мідний купорос,Проти бактеріозу та грибків,21
3,Сірка колоїдна,Проти борошнистої роси,7
4,Актара,Проти попелиці та білокрилки,14
5,Карате Зеон,Проти листовійки та плодожерки,21
6,Фітоверм,Біологічний інсектицид,3
7,Гаупсин,Біологічний фунгіцид,0
8,Триходермін,Біологічний засіб проти кореневих гнилей,0
9,Калімагнезія,Підживлення калієм та магнієм,0
10,Суперфосфат,Фосфорне підживлення,0
11,Сечовина,Азотне підживлення,14
12,Аміачна селітра,Азотне підживлення,21
13,Гумат калію,Стимулятор росту,0
14,Епін-Екстра,Антистресовий препарат,0
15,Циркон,Стимулятор корнеутворення,0
