id,category,name,location,row,position,rating,comment,photo_id
1,Виноград,Изобелла,"Ряд 0, Номер 1",0,1,4.0,у ворот 1,
2,Виноград,Изобелла,"Ряд 0, Номер 2",0,2,4.0,у ворот 2,
3,Виноград,Велиант,"Ряд 0, Номер 3",0,3,0,Велиант х2 у колодца,
4,Виноград,Велиант,"Ряд 0, Номер 4",0,4,0,Велиант х2 у колодца,
5,Виноград,Изобелла,"Ряд 0, Номер 5",0,5,0,за дровником,
6,Виноград,Лідія,"Ряд 1, Номер 1",1,1,5.0,,
7,Виноград,Озон,"Ряд 1, Номер 2",1,2,10.0,,
8,Виноград,Байконур,"Ряд 1, Номер 3",1,3,9.0,,
9,Виноград,Каберне Кортис,"Ряд 2, Номер 1",2,1,6.0,,
10,Виноград,Каберне Кортис,"Ряд 2, Номер 2",2,2,6.0,,
11,Виноград,Каберне Кортис,"Ряд 2, Номер 3",2,3,6.0,,
12,Виноград,Каберне Кортис,"Ряд 2, Номер 4",2,4,6.0,,
13,Виноград,Кишмиш Юпитер,"Ряд 2, Номер 5",2,5,10.0,,
14,Виноград,Кишмиш Юпитер,"Ряд 2, Номер 6",2,6,10.0,,
15,Виноград,Виталик-стройка,"Ряд 2, Номер 7",2,7,0,,
16,Виноград,Спартанец,"Ряд 3, Номер 1",3,1,8.0,,
17,Виноград,Спартанец?,"Ряд 3, Номер 2",3,2,0,,10 пересажен
18,Виноград,Столетие,"Ряд 3, Номер 3",3,3,0,,
19,Виноград,Преображение,"Ряд 3, Номер 4",3,4,0,,
20,Виноград,Анюта?,"Ряд 3, Номер 5",3,5,0,,6 пересажен
21,Виноград,Кишмиш Юпитер,"Ряд 3, Номер 6",3,6,10.0,,
22,Виноград,Виталик-стройка,"Ряд 3, Номер 7",3,7,0,,
23,Виноград,Зарница,"Ряд 3, Номер 8",3,8,0,,
24,Виноград,Адлер,"Ряд 4, Номер 1",4,1,0,,
25,Виноград,Мускат Новошахтинский,"Ряд 4, Номер 2",4,2,10.0,классный,
26,Виноград,Анюта?,"Ряд 4, Номер 3",4,3,0,,6 пересажен
27,Виноград,Анюта,"Ряд 4, Номер 4",4,4,9.0,,
28,Виноград,Хоуп,"Ряд 4, Номер 5",4,5,0,,
29,Виноград,Спартанец?,"Ряд 4, Номер 6",4,6,10.0,,10 пересажен
30,Виноград,Кертис\Столетие?,"Ряд 5, Номер 1",5,1,0,,13
31,Виноград,Кертис\Столетие?,"Ряд 5, Номер 2",5,2,0,,13
32,Виноград,Кертис\Столетие?,"Ряд 5, Номер 3",5,3,0,,13
33,Виноград,Кертис\Столетие?,"Ряд 5, Номер 4",5,4,0,,13
34,Виноград,Кертис\Столетие?,"Ряд 5, Номер 5",5,5,0,,12
35,Виноград,Кертис\Столетие?,"Ряд 5, Номер 6",5,6,0,,12
36,Виноград,Анюта?,"Ряд 5, Номер 7",5,7,0,,6
37,Виноград,Спартанец?,"Ряд 5, Номер 8",5,8,0,,10
