id,category,name,location,row,position,rating,comment,photo_id_1,photo_id_2,latitude,longitude
1,Абрикос,Красавец Киева,,-1,-1,0,,,,,
2,Вишня,Подбельського (до песочницы),,-1,-1,0,,,,,
3,Вишня,Келлерис-16 (после песочницы),,-1,-1,0,,,,,
4,Вишня,Латовка (возле шелковицыв конце сада),,-1,-1,0,,,,,
5,Груша,Ноябрьская на краю,,-1,-1,0,,,,,
6,Груша,Конференция-зима,,-1,-1,0,,,,,
7,Груша,Либимица Клапа -лето,,-1,-1,0,,,,,
8,Груша,Богема,,-1,-1,0,,8,,,
9,Груша,Бере Люка,,-1,-1,0,,4,,,
10,Ежевика,Небеса могут подождать х4,,-1,-1,0,,,,,
11,Ежевика,Тройная корона х3,,-1,-1,0,,,,,
12,Жимолость,от дома - Павловская,,-1,-1,0,,,,,
13,Жимолость,Резовская,,-1,-1,0,,,,,
14,Жимолость,Югана х2  (продолговатая),,-1,-1,0,,,,,
15,Жимолость,Бореал Бьюти х2 (более круглая),,-1,-1,0,,,,,
16,Калина,Синичка,,-1,-1,0,,,,,
17,Клубника,Ольвія стара грядка,,-1,-1,0,,,,,
18,Клюква,Бен Лир х2,,-1,-1,0,,,,,
19,Клюква,Бергман х2,,-1,-1,0,,,,,
20,Малина,Атлант + Брусвяна,,-1,-1,0,,,,,
21,Малина,Каскад Делайт х5,,-1,-1,0,,,,,
22,Малина,Глен Мой (Агромаркет),,-1,-1,0,,,,,
23,Малина,Татьяна дала х8,,-1,-1,0,,,,,
24,Мушмула,"Мушмула германська ""Голландський Гігант""",,-1,-1,0,,,,,
25,Орех грецкий,Идеал х2,,-1,-1,0,,,,,
26,Слива,Ред Харт,,-1,-1,0,,,,,
27,Слива,Валор,,-1,-1,0,,,,,
28,Фундук,Каталонский,,-1,-1,0,,24,,,
29,Фундук,Сирена,,-1,-1,0,,23,,,
30,Фундук,Косфорд х2,,-1,-1,0,,26,,,
31,Фундук,Веббе,,-1,-1,0,,2,,,
32,Фундук,Трапезунский,,-1,-1,0,,18,,,
33,Фундук,Тонда Бі Дігліні х4,,-1,-1,0,,,,,
34,Черешня,+ Крупноплодная,,-1,-1,0,,,,,
35,Яблоня,Белый Налив,,-1,-1,0,,,,,
36,Яблоня,Семеренко,,-1,-1,0,,,,,
37,Яблоня,Слава Победителю,,-1,-1,0,,,,,
38,Яблоня,Моди,,-1,-1,0,,,,,
39,Яблоня,Чемпіон,,-1,-1,0,,11,9,,
40,Виноград,Изобелла,"Ряд 0, Номер 1",0,1,4.0,у ворот 1,,,,
41,Виноград,Изобелла,"Ряд 0, Номер 2",0,2,4.0,у ворот 2,,,,
42,Виноград,Велиант,"Ряд 0, Номер 3",0,3,0,Велиант х2 у колодца,,,,
43,Виноград,Велиант,"Ряд 0, Номер 4",0,4,0,Велиант х2 у колодца,,,,
44,Виноград,Изобелла,"Ряд 0, Номер 5",0,5,0,за дровником,,,,
45,Виноград,Лідія,"Ряд 1, Номер 1",1,1,5.0,,,,,
46,Виноград,Озон,"Ряд 1, Номер 2",1,2,10.0,,,,,
47,Виноград,Байконур,"Ряд 1, Номер 3",1,3,9.0,,,,,
48,Виноград,Каберне Кортис,"Ряд 2, Номер 1",2,1,6.0,,,,,
49,Виноград,Каберне Кортис,"Ряд 2, Номер 2",2,2,6.0,,,,,
50,Виноград,Каберне Кортис,"Ряд 2, Номер 3",2,3,6.0,,,,,
51,Виноград,Каберне Кортис,"Ряд 2, Номер 4",2,4,6.0,,,,,
52,Виноград,Кишмиш Юпитер,"Ряд 2, Номер 5",2,5,10.0,,,,,
53,Виноград,Кишмиш Юпитер,"Ряд 2, Номер 6",2,6,10.0,,,,,
54,Виноград,Виталик-стройка,"Ряд 2, Номер 7",2,7,0,,,,,
55,Виноград,Спартанец,"Ряд 3, Номер 1",3,1,8.0,,,,,
56,Виноград,Спартанец?,"Ряд 3, Номер 2",3,2,0,,10,,,
57,Виноград,Столетие,"Ряд 3, Номер 3",3,3,0,,,,,
58,Виноград,Преображение,"Ряд 3, Номер 4",3,4,0,,,,,
59,Виноград,Анюта?,"Ряд 3, Номер 5",3,5,0,,6,,,
60,Виноград,Кишмиш Юпитер,"Ряд 3, Номер 6",3,6,10.0,,,,,
61,Виноград,Виталик-стройка,"Ряд 3, Номер 7",3,7,0,,,,,
62,Виноград,Зарница,"Ряд 3, Номер 8",3,8,0,,,,,
63,Виноград,Адлер,"Ряд 4, Номер 1",4,1,0,,,,,
64,Виноград,Мускат Новошахтинский,"Ряд 4, Номер 2",4,2,10.0,классный,,,,
65,Виноград,Анюта?,"Ряд 4, Номер 3",4,3,0,,6,,,
66,Виноград,Анюта,"Ряд 4, Номер 4",4,4,9.0,,,,,
67,Виноград,Хоуп,"Ряд 4, Номер 5",4,5,0,,,,,
68,Виноград,Спартанец?,"Ряд 4, Номер 6",4,6,10.0,,10,,,
69,Виноград,Кертис\Столетие?,"Ряд 5, Номер 1",5,1,0,,13,,,
70,Виноград,Кертис\Столетие?,"Ряд 5, Номер 2",5,2,0,,13,,,
71,Виноград,Кертис\Столетие?,"Ряд 5, Номер 3",5,3,0,,13,,,
72,Виноград,Кертис\Столетие?,"Ряд 5, Номер 4",5,4,0,,13,,,
73,Виноград,Кертис\Столетие?,"Ряд 5, Номер 5",5,5,0,,12,,,
74,Виноград,Кертис\Столетие?,"Ряд 5, Номер 6",5,6,0,,12,,,
75,Виноград,Анюта?,"Ряд 5, Номер 7",5,7,0,,6,,,
76,Виноград,Спартанец?,"Ряд 5, Номер 8",5,8,0,,10,,,
