id,category,name,location,row,position,rating,comment,photo_id
1,Абрикос,Красавец Киева,,-1,-1,0,,
2,Вишня,Подбельского (до песочницы),,-1,-1,0,,
3,Вишня,Келлерис-16 (после песочницы),,-1,-1,0,,
4,Вишня,Латовка (возле шелковицыв конце сада),,-1,-1,0,,
5,Груша,Ноябрьская на краю,,-1,-1,0,,
6,Груша,Конференция-зима,,-1,-1,0,,
7,Груша,Либимица Клапа -лето,,-1,-1,0,,
8,Груша,Богема,,-1,-1,0,,
9,Груша,Бере Люка,,-1,-1,0,,
10,Ежевика,Небеса могут подождать х4,,-1,-1,0,,
11,Ежевика,Тройная корона х3,,-1,-1,0,,
12,Жимолость,от дома - Павловская,,-1,-1,0,,
13,Жимолость,Резовская,,-1,-1,0,,
14,Жимолость,Югана х2  (продолговатая),,-1,-1,0,,
15,Жимолость,Бореал Бьюти х2 (более круглая),,-1,-1,0,,
16,Калина,Синичка,,-1,-1,0,,
17,Клубника,Ольвія стара грядка,,-1,-1,0,,
18,Клюква,Бен Лир х2,,-1,-1,0,,
19,Клюква,Бергман х2,,-1,-1,0,,
20,Малина,Атлант + Брусвяна,,-1,-1,0,,
21,Малина,Каскад Делайт х5,,-1,-1,0,,
22,Малина,Глен Мой (Агромаркет),,-1,-1,0,,
23,Малина,Татьяна дала х8,,-1,-1,0,,
24,Мушмула,"Мушмула германська ""Голландський Гігант""",,-1,-1,0,,
25,Орех грецкий,Идеал х2,,-1,-1,0,,
26,Слива,Ред Харт,,-1,-1,0,,
27,Слива,Валор,,-1,-1,0,,
28,Фундук,Каталонский,,-1,-1,0,,
29,Фундук,Сирена,,-1,-1,0,,
30,Фундук,Косфорд х2,,-1,-1,0,,
31,Фундук,Веббе,,-1,-1,0,,
32,Фундук,Трапезунский,,-1,-1,0,,
33,Фундук,Тонда Бі Дігліні х4,,-1,-1,0,,
34,Черешня,+ Крупноплодная,,-1,-1,0,,
35,Яблоня,Белый Налив,,-1,-1,0,,
36,Яблоня,Семеренко,,-1,-1,0,,
37,Яблоня,Слава Победителю,,-1,-1,0,,
38,Яблоня,Моди,,-1,-1,0,,
39,Яблоня,Чемпіон,,-1,-1,0,,
