id,phase_time,target_category,recipe,start_date,end_date,is_completed
1,Рання весна,Виноград,Бордоська суміш 3% - обприскування лози до розпускання бруньок,1717200000000,1718409600000,0
2,Рання весна,Яблоня,Мідний купорос 1% - обприскування дерев до розпускання бруньок,1717200000000,1718409600000,0
3,Набубрявлення бруньок,Виноград,Сірка колоїдна 1% - проти борошнистої роси,1718409600000,1719619200000,0
4,Набубрявлення бруньок,Яблоня,Актара 0.2% - проти попелиці,1718409600000,1719619200000,0
5,Цвітіння,Виноград,Не обприскувати! Тільки полив та підживлення,1719619200000,1720828800000,0
6,Цвітіння,Яблоня,Не обприскувати! Тільки полив та підживлення,1719619200000,1720828800000,0
7,Зав'язування плодів,Виноград,Фітоверм 0.2% - біологічний захист від шкідників,1720828800000,1722038400000,0
8,Зав'язування плодів,Яблоня,Карате Зеон 0.05% - проти плодожерки,1720828800000,1722038400000,0
9,Зав'язування плодів,Груша,Бордоська суміш 1% - проти парші,1720828800000,1722038400000,0
10,Ріст плодів,Виноград,Калімагнезія 2% - підживлення під корінь,1722038400000,1723248000000,0
11,Ріст плодів,Яблоня,Сечовина 0.5% - позакореневе підживлення,1722038400000,1723248000000,0
12,Ріст плодів,Груша,Суперфосфат 2% - підживлення під корінь,1722038400000,1723248000000,0
13,Дозрівання,Виноград,Гаупсин 1% - біологічний захист від сірої гнилі,1723248000000,1724457600000,0
14,Дозрівання,Яблоня,Триходермін - обробка грунту навколо стовбура,1723248000000,1724457600000,0
15,Після збору,Виноград,Мідний купорос 1% - обприскування лози,1724457600000,1725667200000,0
16,Після збору,Яблоня,Бордоська суміш 3% - обприскування дерев,1724457600000,1725667200000,0
17,Після збору,Груша,Мідний купорос 1% - обприскування дерев,1724457600000,1725667200000,0
18,Підготовка до зими,Виноград,Гумат калію 0.1% - підживлення перед укриттям,1725667200000,1726876800000,0
19,Підготовка до зими,Яблоня,Аміачна селітра 1% - підживлення перед зимівлею,1725667200000,1726876800000,0
